Id,SalePrice
1461,135828.315482
1462,139439.043594
1463,197745.113977
1464,193220.770684
1465,173632.250778
1466,177877.017356
1467,178998.517262
1468,168125.307044
1469,180058.912281
1470,130390.53023
1471,186238.247908
1472,105884.928261
1473,112462.535364
1474,143918.636686
1475,108719.303285
1476,299191.947988
1477,238014.657581
1478,240969.19114
1479,247874.821985
1480,442681.226502
1481,290988.308931
1482,181026.41398
1483,184368.397346
1484,161322.420128
1485,168565.993625
1486,197271.930098
1487,355577.594994
1488,239756.50037
1489,194092.984652
1490,250498.345312
1491,194939.861227
1492,99611.3733397
1493,173230.322112
1494,249467.413328
1495,270928.368333
1496,209248.093863
1497,188671.927315
1498,154012.311676
1499,155145.045694
1500,158154.514845
1501,170008.949682
1502,146024.596149
1503,248191.449911
1504,220367.00048
1505,218320.119613
1506,190264.173209
1507,291022.801517
1508,205244.795404
1509,155158.98836
1510,144993.237652
1511,150805.490847
1512,189783.787954
1513,150163.721669
1514,175545.885706
1515,232710.829275
1516,135805.782159
1517,148621.34535
1518,152022.671385
1519,230798.608775
1520,125917.003086
1521,131784.636715
1522,169732.753839
1523,117556.034828
1524,111620.298447
1525,116433.119821
1526,101740.381332
1527,119183.271376
1528,134479.885591
1529,131409.32778
1530,185256.247029
1531,116453.637405
1532,89943.8359655
1533,132362.518804
1534,124225.726042
1535,166203.685723
1536,113610.901943
1537,108732.436763
1538,130172.404592
1539,165075.82329
1540,116321.839866
1541,140240.450812
1542,162134.024087
1543,172162.437202
1544,86313.6540385
1545,103758.871033
1546,114790.300074
1547,126096.648867
1548,120953.976478
1549,120797.209722
1550,126272.330055
1551,107737.895547
1552,147185.572943
1553,131216.495937
1554,113348.787519
1555,160251.328433
1556,97144.2603807
1557,99073.7218216
1558,94532.9251534
1559,111949.300716
1560,115249.667349
1561,156762.453748
1562,131462.630134
1563,118573.650395
1564,172158.727747
1565,138687.121423
1566,208323.061915
1567,90658.0583906
1568,214575.461414
1569,146510.517137
1570,125115.045606
1571,122515.372596
1572,149561.024161
1573,236386.426896
1574,139849.717261
1575,224353.248169
1576,241690.784549
1577,191602.76981
1578,121645.260305
1579,157440.03334
1580,194727.198319
1581,137222.579135
1582,126418.13286
1583,313936.060691
1584,230580.481981
1585,144611.683068
1586,100057.536099
1587,105671.852195
1588,146599.500034
1589,119890.107974
