Id,SalePrice
1461,123285.2109
1462,158086.6563
1463,191070.6406
1464,186620.1094
1465,179761.5
1466,184314.0469
1467,162207.1875
1468,166119.7031
1469,200698.7656
1470,132621.0313
1471,192742.4844
1472,100106.5469
1473,101144.9688
1474,143751.3281
1475,114546.375
1476,361345.3125
1477,233218.2031
1478,262934.6875
1479,264785.9688
1480,332548.6563
1481,293764.6563
1482,206358.1563
1483,181824.9688
1484,171099.7656
1485,168686.9688
1486,199816.4375
1487,318070.9063
1488,232402.25
1489,185659.3906
1490,192456.125
1491,196567.9844
1492,91503.92188
1493,159336.4219
1494,241694.6875
1495,301774.5313
1496,212024.0156
1497,198588.4531
1498,154992.7656
1499,154653.4688
1500,157134.4531
1501,180753.5625
1502,146946
1503,280672.7813
1504,226208.4531
1505,229504.1875
1506,185616.375
1507,313509.5938
1508,188315.5
1509,156875.125
1510,142688.9688
1511,145772.7031
1512,175894.3125
1513,146033.6094
1514,163647.5469
1515,225029.3281
1516,145830.5469
1517,154266.2031
1518,141802.5938
1519,216457.5156
1520,139999.1875
1521,139275.9531
1522,171429.5313
1523,120677.4141
1524,126532.7813
1525,125951.0391
1526,100806.8672
1527,100299.1094
1528,139316.6094
1529,139618.9219
1530,193422.3125
1531,106979.3281
1532,109073.9141
1533,144892.1875
1534,139168.0156
1535,147135.0313
1536,119506.25
1537,52172.92578
1538,161003.5156
1539,196240.0156
1540,85622.8125
1541,148324.3906
1542,157613.0625
1543,188208.6719
1544,90629.54688
1545,114210.4141
1546,121027.2031
1547,135035.5625
1548,135831.0469
1549,123834.4375
1550,139364.7031
1551,138073.7969
1552,161473.2813
1553,140215.7813
1554,134266.5
1555,163189.6563
1556,98782.63281
1557,114838.3047
1558,120196.1563
1559,100599.7109
1560,148974.2188
1561,115339.5703
1562,124916.6641
1563,126211.3594
1564,156515.4219
1565,139073.9375
1566,232732.7344
1567,75851.17188
1568,262650
1569,104174.7813
1570,125340.2891
1571,129385.8828
1572,145064.7344
1573,216236.5469
1574,108131.7266
1575,189083.0156
1576,255815.8906
1577,179980.7188
1578,142951.9844
1579,154376.875
1580,189541.5938
1581,136251.2813
1582,127631.1641
